Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Account & Login Help	Account & Login Help	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":44,"Qna":null,"DisplayText":"Create Account"},{"DisplayOrder":2,"QnaId":47,"Qna":null,"DisplayText":"Unable to Login"},{"DisplayOrder":3,"QnaId":48,"Qna":null,"DisplayText":"Forgot Security Question"}]	43
Create Account	Here is an article link that includes step-by-step instructions and screenshots for creating a new account:\n\n[https://www.hoabankservices.com/pdfs/Chatbot-(10-2021)Register_for_a_New_Homeowner_Account.pdf](https://www.hoabankservices.com/pdfs/Chatbot-(10-2021)Register_for_a_New_Homeowner_Account.pdf)\n\nDid this resolve your issue?	Editorial		[{"ClusterHead":"Account & Login Types","TotalAutoSuggestedCount":3,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Account & Login Types","AutoSuggestedCount":3,"UserSuggestedCount":0}]}]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	44
Yes	Great! May I help you with anything else?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":43,"Qna":null,"DisplayText":"Account & Login Help"},{"DisplayOrder":2,"QnaId":49,"Qna":null,"DisplayText":"Payment Help"},{"DisplayOrder":3,"QnaId":50,"Qna":null,"DisplayText":"Balance & Billing FAQs"},{"DisplayOrder":4,"QnaId":51,"Qna":null,"DisplayText":"My Management Company Details"}]	45
No	I apologize that you are experiencing issues.\n\nWould you like to return to the main menu; or, call us at 888-705-0600 M-F 8am-8pm ET (5am-5pm PT)?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":52,"Qna":null,"DisplayText":"Return to the main menu"}]	46
Unable to Login	First, click "Make Payment" under Online Payments for Homeowners, then click "Forgot Your Password/Username" next to the login button. For your security, an email will be sent to you within 10 minutes with directions for the reset.\n\nPlease check your inbox and junk folder. Did that work?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":53,"Qna":null,"DisplayText":"No"}]	47
Forgot Security Question	For your security and confidentiality, I am unable to provide your security question answer over chat.\n\nPlease contact our Service Line at 888-705-0600 M-F 8am-8pm ET (5am-5pm PT) to speak with an agent to verify your identity and unlock your account.\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	48
Payment Help	How can I help you with your payment? Please be sure you are using the latest version of Chrome or Internet Explorer. Safari is not a compatible browser.	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":54,"Qna":null,"DisplayText":"Confirm a Payment"},{"DisplayOrder":2,"QnaId":55,"Qna":null,"DisplayText":"Make a Payment"},{"DisplayOrder":3,"QnaId":60,"Qna":null,"DisplayText":"Cancel a Payment"},{"DisplayOrder":4,"QnaId":65,"Qna":null,"DisplayText":"Edit a Recurring Payment"},{"DisplayOrder":5,"QnaId":66,"Qna":null,"DisplayText":"Unable to find Association Name in Payment"},{"DisplayOrder":6,"QnaId":68,"Qna":null,"DisplayText":"Payment Options"},{"DisplayOrder":7,"QnaId":69,"Qna":null,"DisplayText":"Don’t Know Homeowner ID"}]	49
Balance & Billing FAQs	How can I help you with balance and billing?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":70,"Qna":null,"DisplayText":"View HOA Balance"},{"DisplayOrder":2,"QnaId":71,"Qna":null,"DisplayText":"Billing Statement"},{"DisplayOrder":3,"QnaId":72,"Qna":null,"DisplayText":"Fees"},{"DisplayOrder":4,"QnaId":73,"Qna":null,"DisplayText":"Refunds"}]	50
My Management Company Details	For assistance related to homeowner ID/ Account number, non-online payment options, balance/billing inquiries, or late fees, please contact your HOA Management company. Do you know how to contact your management company?\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":74,"Qna":null,"DisplayText":"No"}]	51
Return to the main menu	Main Menu	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":43,"Qna":null,"DisplayText":"Account & Login Help"},{"DisplayOrder":2,"QnaId":49,"Qna":null,"DisplayText":"Payment Help"},{"DisplayOrder":3,"QnaId":50,"Qna":null,"DisplayText":"Balance & Billing FAQs"},{"DisplayOrder":4,"QnaId":51,"Qna":null,"DisplayText":"My Management Company Details"}]	52
